,DEPT,GRGC,NPRL,DEN,FE,DDLLDS,DSLLDS,SPCGds,DTC,"Sample
No.",PERM,Comments,PhiDSS,PhieN,PhiAvgSS,VCLGR,VCLND,ResRatio,ResRatio2
6525,4062.5,62.494782,0.136635,2.410444,1.993606,173.971957,40.376581,-47.660042,73.713524,,,,0.14518545454545448,0.17663500000000001,0.16091022727272725,0.2585847034482759,0.1374792904290429,0.9241924973146218,1.0751533887571352
6526,4063.0,52.794558,0.131893,2.392793,1.914812,146.053335,41.134322,-47.606293,73.165841,Core 1,6.2,,0.15588303030303016,0.17189300000000002,0.16388801515151508,0.19168660689655173,0.10361377887788806,0.9061221744881908,1.0048521264084387
6527,4063.5,44.548683,0.125214,2.376906,1.896152,129.109278,41.80693,-47.658054,72.71481,,,,0.16551151515151513,0.165214,0.16536275757575758,0.13481850344827584,0.06776188118811875,0.883852701612938,0.952356451383244
6528,4064.0,41.302774,0.119075,2.372389,1.922571,123.525328,42.712922,-47.767814,72.287729,Core 1,8.19,,0.16824909090909082,0.159075,0.1636620454545454,0.11243292413793103,0.048122854785478654,0.8629353459483401,0.9254606845439828
6529,4064.5,40.562013,0.115465,2.377143,1.948553,123.558976,43.908092,-47.791367,71.83373,,,,0.16536787878787887,0.155465,0.16041643939393943,0.1073242275862069,0.04635668316831655,0.8491510032066892,0.9071459136829894
6530,4065.0,40.728649,0.114018,2.388223,1.957704,126.723411,45.107163,-47.652922,71.53537,,,,0.15865272727272722,0.154018,0.1563353636363636,0.10847344137931032,0.05776023102310228,0.84691625027072,0.8950918671816948
6531,4065.5,41.249978,0.112254,2.402373,1.952283,130.417925,45.776232,-47.39613,71.489228,,,,0.15007696969696974,0.152254,0.15116548484848485,0.11206881379310343,0.07251039603960378,0.853104327041333,0.8911111657250638
6532,4066.0,41.883003,0.109661,2.414422,1.949991,133.366644,45.414792,-47.302705,71.535423,Core 1,38.78,,0.14277454545454538,0.149661,0.14621777272727268,0.11643450344827588,0.08264018151815189,0.8693433001066593,0.9025936561541251
6533,4066.5,43.051664,0.106914,2.419502,1.962474,135.371289,44.051948,-47.416423,71.500855,,,,0.1396957575757575,0.146914,0.14330487878787873,0.12449423448275863,0.08322689768976901,0.8911957100488047,0.9332025990534978
6534,4067.0,44.871325,0.105029,2.418102,1.982616,137.231705,42.117389,-47.58131,71.11612,Core 1,105.95,,0.14054424242424227,0.145029,0.14278662121212113,0.13704362068965517,0.0771794554455448,0.9153043812525754,0.9787999808467894
6535,4067.5,46.173894,0.106218,2.406779,1.988849,140.465119,40.045431,-47.573536,70.417101,,,,0.14740666666666674,0.14621800000000001,0.14681233333333338,0.14602685517241376,0.06488036303630336,0.9501463129325683,1.0404314006751147
6536,4068.0,46.329732,0.110519,2.388673,1.974201,145.824805,38.2498,-47.384085,69.839186,,,,0.15838000000000005,0.15051900000000001,0.15444950000000002,0.1471016,0.05055948844884466,0.9968843843993799,1.1097246986059603
6537,4068.5,44.760536,0.1181,2.368435,1.952066,153.579828,37.043452,-47.203691,69.764193,,,,0.1706454545454546,0.1581,0.16437272727272728,0.13627955862068966,0.04073102310231,1.0560604152385298,1.172886440490212
