,DEPT,CAL1IN,CAL2IN,CDTF,GRP,ILD,ILM,ITT,SFLA,GRGC_x,DT35_x,CLYC,DSLL,DDLL_x,CLXC_x,RILS,RILM,RILD,NPRL,DEN_x,CoreNo,MD,PERM_H,PERM_V,PORO,Bdensity,GrainDensity,PhiDSS,PhieN,PhiAvgSS,VCLGR,ResRatio,GRGC_y,GCGR,BIT,CLXC_y,Neut,DEN_y,MRRS,DDLL_y,DT35_y,Phie,PhiT,BVW,BVWsxo,VClay,VCLND,ResRatio2
8254,4144.5,,,,,,,,,46.556665,68.832971,13.102382,67.607414,272.996291,12.992618,74.776651,216639.6893,20000000.0,0.06133953,2.496746,,,,,,,,0.09288121212121213,0.10133953000000001,0.09711037106060608,0.14866665517241381,1.6661754439983993,46.1771,44.4652,12.25,13.0287,0.0522,2.5018,5.6097,287.2071,68.5311,0.0834,0.0834,0.0577,0.0775,0.0,0.06225994250000008,1.8352851631537765
8255,4145.0,,,,,,,,,46.068167,69.236668,13.106632,65.397363,262.712383,13.004308,75.232637,361675.0884,20000000.0,0.06310523,2.485972,,,,,,,,0.09941090909090913,0.10310522999999999,0.10125806954545456,0.1452977034482759,1.6486778547935665,44.3622,44.3644,12.25,12.9889,0.0538,2.4909,5.5264,273.4696,69.0051,0.0875,0.0875,0.0592,0.0809,0.0,0.05545876749999999,1.821972655560697
8256,4145.5,,,,,,,,,48.877516,69.761265,13.106896,62.652328,249.653911,13.009027,76.42017,502944.2644,20000000.0,0.06496758,2.48111,,,,,,,,0.10235757575757562,0.10496758,0.10366257787878781,0.16467252413793104,1.5886914722427967,44.5987,45.7407,12.25,12.9715,0.0556,2.486,5.2742,258.5417,69.5752,0.0899,0.0899,0.0608,0.0831,0.0,0.054787055000000286,1.7976802973292298
8257,4146.0,,,,,,,,,51.852169,69.907493,13.102331,62.198017,247.009595,13.001337,77.393754,706616.3926,20000000.0,0.06630024,2.482239,,,,,,,,0.10167333333333337,0.10630023999999999,0.10398678666666668,0.18518737241379313,1.5184028422714526,48.3023,47.6947,12.25,12.9907,0.0568,2.4872,5.1619,251.4597,69.8691,0.0902,0.0902,0.0617,0.0836,0.0,0.058914540000000015,1.753712189656947
8258,4146.5,,,,,,,,,56.879108,70.518801,13.090225,63.174606,248.894496,12.988555,77.740023,810707.1945,20000000.0,0.06632976,2.483647,,,,,,,,0.10081999999999999,0.10632976,0.10357488,0.21985591724137932,1.4387222014723153,52.8542,48.3689,12.25,12.999,0.0568,2.4886,5.1069,252.0791,69.9443,0.0898,0.0898,0.0616,0.0833,0.0,0.060388960000000096,1.7328071748187002
8259,4147.0,,,,,,,,,59.1234,71.324205,13.08375,63.478542,248.809495,12.983372,77.725409,838913.5763,20000000.0,0.06591043,2.480787,,,,,,,,0.10255333333333337,0.10591043,0.10423188166666669,0.23533379310344826,1.4061995335775237,56.1391,49.6014,12.25,12.9877,0.0564,2.4857,5.108,254.3433,70.7938,0.0905,0.0905,0.0613,0.0837,0.0,0.056585467500000014,1.7349126502607841
8260,4147.5,,,,,,,,,60.390123,72.672615,13.078293,60.821977,233.743557,12.979872,78.543,815678.8144,20000000.0,0.06686664,2.47491,,,,,,,,0.1061151515151515,0.10686664000000001,0.10649089575757575,0.24406981379310347,1.3933734869171053,58.1856,54.0217,12.25,12.9768,0.0573,2.4798,4.932,249.4567,72.1031,0.0927,0.0927,0.0619,0.0855,0.0,0.0528599400000001,1.7458223948208247
8261,4148.0,,,,,,,,,59.828693,73.167323,13.077339,57.819357,218.861524,12.979763,77.904971,789498.0615,20000000.0,0.07115853999999999,2.474839,,,,,,,,0.1061581818181819,0.11115854,0.10865836090909095,0.2401978827586207,1.4041878262729715,58.3112,55.9591,12.25,12.9701,0.0613,2.4797,4.4842,232.3559,72.9896,0.0949,0.0949,0.0642,0.0878,0.0,0.06244571499999992,1.7326910304579004
8262,4148.5,,,,,,,,,58.672716,72.582449,13.076047,53.532536,199.729081,12.978785,76.713474,774932.5116,20000000.0,0.07838139,2.477035,,,,,,,,0.10482727272727276,0.11838139,0.11160433136363637,0.2322256275862069,1.4209927389441455,56.9216,54.2284,12.25,12.9667,0.0679,2.4818,4.1904,207.3187,73.0594,0.0979,0.0979,0.0679,0.091,0.0,0.08089312750000004,1.7010781279793332
8263,4149.0,,,,,,,,,56.69465,69.685491,13.074042,46.340522,169.457452,12.977367,76.161221,718706.7544,20000000.0,0.08575963,2.472316,,,,,,,,0.10768727272727258,0.12575963,0.1167234513636363,0.2185837931034483,1.4544069000674629,55.3532,52.0001,12.25,12.9662,0.0747,2.477,4.0491,181.1126,70.9752,0.1029,0.1029,0.0727,0.096,0.0,0.09277516750000034,1.6885675580506958
8264,4149.5,,,,,,,,,55.832626,67.404429,13.074814,43.291236,158.068309,12.977254,75.078252,604431.0441,20000000.0,0.09172897,2.456709,,,,,,,,0.11714606060606055,0.13172897,0.12443751530303027,0.2126388,1.4823334277092841,53.9971,51.9082,12.25,12.965,0.0802,2.4613,3.9712,161.7699,67.7542,0.1105,0.1105,0.0769,0.1028,0.0,0.09059918250000021,1.7120925325840286
8265,4150.0,,,,,,,,,55.228467,64.126001,13.079738,40.301126,148.114105,12.97965,73.346784,428152.7238,20000000.0,0.09605019000000001,2.440981,,,,,,,,0.12667818181818186,0.13605019000000002,0.13136418590909094,0.20847218620689656,1.5166972457939767,53.5807,54.9736,12.25,12.9644,0.0842,2.4454,3.7625,151.1744,64.6498,0.1172,0.1172,0.0795,0.1072,0.0,0.0845939275,1.7540683280483458
8266,4150.5,,,,,,,,,54.632297,64.329874,13.08118,41.034393,152.717802,12.982194,72.137764,278406.7536,20000000.0,0.09740854,2.440673,,,,,,,,0.12686484848484852,0.13740854,0.13213669424242425,0.20436066896551724,1.547584625179117,52.9339,56.1761,12.25,12.9642,0.0855,2.4451,3.485,152.1732,63.8633,0.118,0.118,0.0793,0.109,0.0,0.08734221500000001,1.775195243653452
8267,4151.0,,,,,,,,,52.515631,66.907783,13.08071,46.733607,178.929704,12.980161,72.490697,157607.2861,20000000.0,0.09404006000000001,2.449598,,,,,,,,0.12145575757575756,0.13404006000000002,0.12774790878787878,0.18976297241379309,1.5951338930781458,51.5729,53.8462,12.25,12.9662,0.0824,2.4541,3.4022,167.5824,65.983,0.1137,0.1137,0.0755,0.1048,0.0,0.0886881350000001,1.7941224524833133
8268,4151.5,,,,,,,,,50.476827,68.502881,13.076835,54.07211,212.6414,12.974715,73.655567,98435.9015,20000000.0,0.08427335,2.457945,,,,,,,,0.11639696969696962,0.12427335,0.12033515984848481,0.1757022551724138,1.6324468715210687,49.3056,49.5358,12.25,12.9696,0.0734,2.4625,3.6827,205.9452,68.2383,0.1064,0.1064,0.0681,0.0973,0.0,0.0750600375000002,1.831759649474426
8269,4152.0,,,,,,,,,47.909152,70.64679,13.067509,68.667442,283.089531,12.968586,75.469165,78589.87722,20000000.0,0.07273450000000001,2.464222,,,,,,,,0.11259272727272727,0.11273450000000002,0.11266361363636365,0.15799415172413792,1.67082887113636,46.4967,47.0956,12.25,12.9672,0.0627,2.4689,4.3271,267.6123,70.0214,0.0989,0.0989,0.0598,0.0894,0.0,0.055374625000000094,1.8744612667356648
8270,4152.5,,,,,,,,,48.680685,72.115066,13.064194,73.472014,305.431799,12.971658,77.531785,59739.11531,20000000.0,0.06533960999999999,2.477488,,,,,,,,0.10455272727272714,0.10533961,0.10494616863636358,0.16331506896551723,1.6634030689245705,46.0902,48.4,12.25,12.9595,0.0559,2.4824,5.2084,314.4646,71.5053,0.0912,0.0912,0.0551,0.0824,0.0,0.05200212250000026,1.8847029751304183
8271,4153.0,,,,,,,,,51.890155,73.884064,13.069559,66.411405,270.481363,12.978086,77.929904,46088.14364,19993163.6,0.06435511,2.490201,,,,,,,,0.0968478787878788,0.10435511,0.1006014943939394,0.1854493448275862,1.6216077915093137,48.5444,51.8992,12.25,12.9546,0.055,2.4952,6.0452,304.1538,73.2499,0.0868,0.0868,0.056,0.0796,0.0,0.06249999750000002,1.8663754045747005
8272,4153.5,,,,,,,,,55.888409,75.084146,13.086619,52.766634,205.277367,12.991052,76.2646,31688.22237,19344819.0,0.07119474,2.484065,,,,,,,,0.1005666666666665,0.11119474000000001,0.10588070333333326,0.2130235103448276,1.5688049130013946,52.4078,55.1556,12.25,12.958,0.0613,2.489,5.9101,236.7485,74.8101,0.0921,0.0921,0.0635,0.0855,0.0,0.07175316500000035,1.850421473027829
8273,4154.0,,,,,,,,,59.612368,75.400986,13.101505,40.826298,152.241566,13.011805,73.339653,17105.92784,17300262.44,0.08258087,2.464827,,,,,,,,0.1122260606060605,0.12258087000000001,0.11740346530303025,0.23870598620689654,1.5195800323323434,56.1518,57.5132,12.25,12.9637,0.0718,2.4695,5.0278,169.3179,75.32,0.1035,0.1035,0.0751,0.0927,0.0,0.07813395750000027,1.8400896438008079
