DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
769,9.79,,,2.49,,96.72,0.33,3.36,,,7.01,6.41,4.39,108.29,380.89,,,
769.5,9.9,,,2.49,,99.59,0.32,3.46,,,5.95,5.54,3.6,110.98,382.68,,,
770,9.85,,,2.48,,110.3,0.33,2.96,,,4.83,4.5,1.93,115.26,383.65,,,
770.5,9.84,,,2.43,,126.42,0.36,2.47,,,4.21,3.86,2.36,120.6,383.53,,,
771,9.93,,,2.39,,143.38,0.33,2.69,,,4.11,3.73,4.01,126.19,383.01,,,
771.5,9.97,,,2.36,,155.47,0.36,2.89,,,4.22,3.82,1.22,130.72,383.03,,,
772,10,,,2.35,,160.96,0.37,2.92,,,4.32,3.91,0.98,132.47,383.52,,,
772.5,10.16,,,2.36,,159.67,0.41,2.86,,,4.35,3.9,2.14,130.29,383.72,,,
773,10.05,,,2.37,,149.5,0.41,3.23,,,4.56,3.99,2.78,124.41,383.99,,,
773.5,10.05,,,2.42,,131.26,0.4,3.51,,,5.23,4.43,3.78,116.27,384.61,,,
774,9.91,,,2.48,,111.85,0.38,3.46,,,6.38,5.28,4.59,107.92,385.33,,,
774.5,9.53,,,2.53,,96.87,0.34,3.54,,,7.85,6.43,4.61,100.99,386.62,,,
775,9.45,,,2.55,,87.83,0.34,3.37,,,9.27,7.54,5.14,95.86,388.44,,,
775.5,9.42,,,2.57,,83.22,0.3,3.27,,,10.52,8.46,5.05,92.1,389.77,,,
776,9.37,,,2.55,,80.07,0.25,3.1,,,11.83,9.38,4.46,89.19,390.63,,,
776.5,9.37,,,2.52,,76.56,0.25,2.93,,,13.41,10.29,4.45,87.1,391.74,,,
777,9.42,,,2.49,,73.59,0.25,2.65,,,15.1,10.83,5.38,86.26,392.8,,,
777.5,9.33,,,2.49,,73.31,0.24,2.5,,,16.26,11.37,6.02,86.95,393.82,,,
778,9.33,,,2.49,,76.06,0.26,2.51,,,16.16,12.02,5.84,89.27,395.21,,,
778.5,9.38,,,2.52,,80.33,0.24,2.45,,,14.78,11.93,5.41,93.15,396.62,,,
779,9.42,,,2.52,,84.82,0.26,2.78,,,12.63,10.58,5.5,97.85,397.4,,,
779.5,9.42,,,2.51,,89.89,0.31,3.36,,,10.49,8.87,5.37,102.31,397.4,,,
780,9.46,,,2.49,,95.1,0.29,3.4,,,8.86,7.6,3.92,105.99,396.77,,,
780.5,9.62,,,2.45,,97,0.32,3.06,,,7.89,6.85,3.21,109.62,396.27,,,
781,9.65,,,2.42,,93.44,0.35,3.14,,,7.1,6.24,3.28,114.65,396.69,,,
781.5,9.74,,,2.38,,91.22,0.4,3.08,,,6.08,5.4,2.98,120.89,397.92,,,
782,9.77,,,2.35,,100.18,0.38,3.01,,,5.02,4.47,2.07,124.94,399.23,,,
782.5,9.98,,,2.34,,116.99,0.35,3.02,,,4.38,3.82,1.74,122.6,400.28,,,
